timestamp_logger,id_publicador,modelo,timestamp_envio,timestamp_recebido,latencia_ms,tempo_inferencia_ms,resultado
1771722253.731793,esp32,CNN_32x32_v1,1771722252.960564,299.320837,-1771721953639.727,53.615,1
1771722398.5765991,esp32,CNN_32x32_v1,1771722397.567913,444.162866,-1771721953405.047,54.028,1
1771722538.583352,esp32,CNN_32x32_v1,1771722537.920371,584.253534,-1771721953666.837,53.552,1
1771722689.2529628,esp32,CNN_32x32_v1,1771722688.543481,734.860017,-1771721953683.464,53.234,0
1771722840.0766559,esp32,CNN_32x32_v1,1771722839.379468,885.696536,-1771721953682.932,54.045,0
1771722987.3801143,esp32,CNN_32x32_v1,1771722986.655157,1033.00153,-1771721953653.627,53.911,0
1771723135.989625,esp32,CNN_32x32_v1,1771723135.050903,1181.608289,-1771721953442.614,54.03,1
1771723284.4461744,esp32,CNN_32x32_v1,1771723283.597624,1330.069002,-1771721953528.622,53.629,0
1771723433.3612378,esp32,CNN_32x32_v1,1771723432.607667,1478.986356,-1771721953621.311,53.647,0
1771723579.004406,esp32,CNN_32x32_v1,1771723578.269853,1624.609368,-1771721953660.485,53.658,1
1771723731.296366,esp32,CNN_32x32_v1,1771723730.575327,1776.90157,-1771721953673.757,53.344,0
1771723888.04716,esp32,CNN_32x32_v1,1771723887.295559,1933.651076,-1771721953644.483,53.676,1
1771724045.486837,esp32,CNN_32x32_v1,1771724044.80927,2091.16985,-1771721953639.42,53.956,1
1771724196.784344,esp32,CNN_32x32_v1,1771724196.023556,2242.391321,-1771721953632.235,53.824,0
1771724353.4576864,esp32,CNN_32x32_v1,1771724352.629235,2399.066893,-1771721953562.342,53.451,1
1771724504.7543857,esp32,CNN_32x32_v1,1771724504.003367,2550.364084,-1771721953639.283,53.839,1
1771724656.8193247,esp32,CNN_32x32_v1,1771724656.100762,2702.506806,-1771721953593.956,53.95,0
1771724810.8812215,esp32,CNN_32x32_v1,1771724809.994465,2856.489614,-1771721953504.851,54.022,1
1771724965.0205765,esp32,CNN_32x32_v1,1771724964.30348,3010.63396,-1771721953669.52,54.133,0
1771725121.3091924,esp32,CNN_32x32_v1,1771725120.646708,3167.000939,-1771721953645.769,53.976,0
