Robo_Publicador,Robo_Assinante,Topico,Latencia_ms
youBot,Franka,/entregador/pontoRecebimento,470.6096649169922
sensor,Franka,/bloco/disponivel,170.0894832611084
sensor,Franka,/bloco/disponivel,229.42733764648438
sensor,Franka,/bloco/disponivel,181.1842918395996
youBot,Franka,/entregador/pontoRecebimento,246.05512619018555
sensor,Franka,/bloco/disponivel,162.45031356811523
youBot,Franka,/entregador/pontoRecebimento,250.58412551879883
sensor,Franka,/bloco/disponivel,212.1572494506836
youBot,Franka,/entregador/pontoRecebimento,225.96335411071777
sensor,Franka,/bloco/disponivel,194.69785690307617
youBot,Franka,/entregador/pontoRecebimento,224.78032112121582
sensor,Franka,/bloco/disponivel,204.0274143218994
youBot,Franka,/entregador/pontoRecebimento,222.59020805358887
sensor,Franka,/bloco/disponivel,203.83048057556152
youBot,Franka,/entregador/pontoRecebimento,226.29928588867188
sensor,Franka,/bloco/disponivel,195.42288780212402
youBot,Franka,/entregador/pontoRecebimento,246.39272689819336
sensor,Franka,/bloco/disponivel,211.99703216552734
youBot,Franka,/entregador/pontoRecebimento,213.21654319763184
sensor,Franka,/bloco/disponivel,222.02420234680176
youBot,Franka,/entregador/pontoRecebimento,224.37429428100586
sensor,Franka,/bloco/disponivel,198.7006664276123
youBot,Franka,/entregador/pontoRecebimento,262.71963119506836
sensor,Franka,/bloco/disponivel,244.86947059631348
youBot,Franka,/entregador/pontoRecebimento,209.44714546203613
sensor,Franka,/bloco/disponivel,207.69762992858887
youBot,Franka,/entregador/pontoRecebimento,209.6405029296875
sensor,Franka,/bloco/disponivel,250.38504600524902
youBot,Franka,/entregador/pontoRecebimento,250.47659873962402
sensor,Franka,/bloco/disponivel,241.58692359924316
youBot,Franka,/entregador/pontoRecebimento,202.76570320129395
sensor,Franka,/bloco/disponivel,208.02998542785645
youBot,Franka,/entregador/pontoRecebimento,250.016450881958
sensor,Franka,/bloco/disponivel,242.96283721923828
youBot,Franka,/entregador/pontoRecebimento,201.42602920532227
sensor,Franka,/bloco/disponivel,181.25224113464355
youBot,Franka,/entregador/pontoRecebimento,220.44992446899414
sensor,Franka,/bloco/disponivel,200.19054412841797
youBot,Franka,/entregador/pontoRecebimento,165.34829139709473
youBot,Franka,/entregador/pontoRecebimento,182.46197700500488
youBot,Franka,/entregador/pontoRecebimento,253.99112701416016
UR10,Franka,/colaboracao/fim,264.7733688354492
