Robo_Publicador,Robo_Assinante,Topico,Latencia_ms
youBot,UR10,/entregador/coletaDisponivel,269.34075355529785
Desconhecido,UR10,/esp/resultado,1771721954107.9983
youBot,UR10,/entregador/coletaDisponivel,261.31629943847656
Desconhecido,UR10,/esp/resultado,1771721954115.5237
youBot,UR10,/entregador/coletaDisponivel,187.40057945251465
Desconhecido,UR10,/esp/resultado,1771721954103.801
youBot,UR10,/entregador/coletaDisponivel,208.21523666381836
Desconhecido,UR10,/esp/resultado,1771721954159.217
youBot,UR10,/entregador/coletaDisponivel,179.08024787902832
Desconhecido,UR10,/esp/resultado,1771721954154.3247
youBot,UR10,/entregador/coletaDisponivel,216.13144874572754
Desconhecido,UR10,/esp/resultado,1771721954152.3918
youBot,UR10,/entregador/coletaDisponivel,200.8380889892578
Desconhecido,UR10,/esp/resultado,1771721954154.9006
youBot,UR10,/entregador/coletaDisponivel,160.70008277893066
Desconhecido,UR10,/esp/resultado,1771721954149.6523
youBot,UR10,/entregador/coletaDisponivel,168.57433319091797
Desconhecido,UR10,/esp/resultado,1771721954148.5867
youBot,UR10,/entregador/coletaDisponivel,265.6269073486328
Desconhecido,UR10,/esp/resultado,1771721954406.5632
youBot,UR10,/entregador/coletaDisponivel,204.0882110595703
Desconhecido,UR10,/esp/resultado,1771721954091.489
youBot,UR10,/entregador/coletaDisponivel,256.40296936035156
Desconhecido,UR10,/esp/resultado,1771721954103.3035
youBot,UR10,/entregador/coletaDisponivel,240.55767059326172
Desconhecido,UR10,/esp/resultado,1771721954091.4272
youBot,UR10,/entregador/coletaDisponivel,243.6528205871582
Desconhecido,UR10,/esp/resultado,1771721954171.971
youBot,UR10,/entregador/coletaDisponivel,234.89093780517578
Desconhecido,UR10,/esp/resultado,1771721954076.857
youBot,UR10,/entregador/coletaDisponivel,239.1338348388672
Desconhecido,UR10,/esp/resultado,1771721954087.3413
youBot,UR10,/entregador/coletaDisponivel,219.08330917358398
Desconhecido,UR10,/esp/resultado,1771721954086.4812
youBot,UR10,/entregador/coletaDisponivel,195.61123847961426
Desconhecido,UR10,/esp/resultado,1771721954093.8816
youBot,UR10,/entregador/coletaDisponivel,201.06768608093262
Desconhecido,UR10,/esp/resultado,1771721954083.138
youBot,UR10,/entregador/coletaDisponivel,212.20993995666504
Desconhecido,UR10,/esp/resultado,1771721954163.9998
