Robo_Publicador,Robo_Assinante,Topico,Latencia_ms
Franka,youBot,/entregador/encomendaDisponibilizada,186.31720542907715
UR10,youBot,/entregador/encomendaColetada,181.12754821777344
Franka,youBot,/entregador/encomendaDisponibilizada,228.11388969421387
UR10,youBot,/entregador/encomendaColetada,208.62269401550293
Franka,youBot,/entregador/encomendaDisponibilizada,204.85448837280273
UR10,youBot,/entregador/encomendaColetada,225.2509593963623
Franka,youBot,/entregador/encomendaDisponibilizada,461.2276554107666
UR10,youBot,/entregador/encomendaColetada,240.2329444885254
Franka,youBot,/entregador/encomendaDisponibilizada,190.11807441711426
UR10,youBot,/entregador/encomendaColetada,207.22126960754395
Franka,youBot,/entregador/encomendaDisponibilizada,191.99132919311523
UR10,youBot,/entregador/encomendaColetada,213.8838768005371
Franka,youBot,/entregador/encomendaDisponibilizada,204.0858268737793
UR10,youBot,/entregador/encomendaColetada,214.82205390930176
Franka,youBot,/entregador/encomendaDisponibilizada,235.87775230407715
UR10,youBot,/entregador/encomendaColetada,238.28697204589844
Franka,youBot,/entregador/encomendaDisponibilizada,175.37975311279297
UR10,youBot,/entregador/encomendaColetada,229.23660278320312
Franka,youBot,/entregador/encomendaDisponibilizada,174.79324340820312
UR10,youBot,/entregador/encomendaColetada,207.40199089050293
Franka,youBot,/entregador/encomendaDisponibilizada,238.52014541625977
UR10,youBot,/entregador/encomendaColetada,271.9919681549072
Franka,youBot,/entregador/encomendaDisponibilizada,224.85017776489258
UR10,youBot,/entregador/encomendaColetada,211.19093894958496
Franka,youBot,/entregador/encomendaDisponibilizada,239.10212516784668
UR10,youBot,/entregador/encomendaColetada,208.9245319366455
Franka,youBot,/entregador/encomendaDisponibilizada,181.77533149719238
UR10,youBot,/entregador/encomendaColetada,242.722749710083
Franka,youBot,/entregador/encomendaDisponibilizada,200.545072555542
UR10,youBot,/entregador/encomendaColetada,229.58707809448242
Franka,youBot,/entregador/encomendaDisponibilizada,183.2418441772461
UR10,youBot,/entregador/encomendaColetada,212.09192276000977
Franka,youBot,/entregador/encomendaDisponibilizada,176.65958404541016
UR10,youBot,/entregador/encomendaColetada,211.92479133605957
Franka,youBot,/entregador/encomendaDisponibilizada,199.11837577819824
UR10,youBot,/entregador/encomendaColetada,230.20482063293457
Franka,youBot,/entregador/encomendaDisponibilizada,231.16564750671387
UR10,youBot,/entregador/encomendaColetada,202.63171195983887
Franka,youBot,/entregador/encomendaDisponibilizada,259.0911388397217
UR10,youBot,/entregador/encomendaColetada,190.29974937438965
UR10,youBot,/colaboracao/fim,249.50551986694336
