timestamp_logger,id_publicador,modelo,timestamp_envio,timestamp_recebido,latencia_ms,tempo_inferencia_ms,resultado
1771717265.3839447,esp32,CNN_32x32_v1,1771717265.093931,210.276834,-1771717054817.097,53.229,0
1771717413.7603562,esp32,CNN_32x32_v1,1771717413.509948,358.661086,-1771717054848.862,53.821,0
1771717557.3377416,esp32,CNN_32x32_v1,1771717557.187823,502.275137,-1771717054912.686,54.01,0
1771717706.4476354,esp32,CNN_32x32_v1,1771717706.204101,651.345932,-1771717054858.169,54.03,0
1771717857.3743992,esp32,CNN_32x32_v1,1771717857.116716,802.262239,-1771717054854.477,53.828,1
1771718008.5822396,esp32,CNN_32x32_v1,1771718008.437222,953.511911,-1771717054925.311,54.027,1
1771718157.0376813,esp32,CNN_32x32_v1,1771718156.821289,1101.939172,-1771717054882.117,53.779,1
1771718306.3400311,esp32,CNN_32x32_v1,1771718306.037935,1251.19587,-1771717054842.065,53.848,0
1771718453.641106,esp32,CNN_32x32_v1,1771718453.367344,1398.548064,-1771717054819.28,53.841,1
1771718604.2488806,esp32,CNN_32x32_v1,1771718603.828806,1549.024148,-1771717054804.658,54.174,0
1771718756.2365592,esp32,CNN_32x32_v1,1771718755.962929,1701.065666,-1771717054897.263,54.14,1
1771718906.1504772,esp32,CNN_32x32_v1,1771718905.889611,1851.070396,-1771717054819.215,53.328,0
1771719065.2814376,esp32,CNN_32x32_v1,1771719064.639928,2009.807814,-1771717054832.114,53.385,0
1771719217.5004992,esp32,CNN_32x32_v1,1771719217.14164,2162.33664,-1771717054805.0,54.657,1
1771719375.2494256,esp32,CNN_32x32_v1,1771719374.996343,2320.161242,-1771717054835.101,53.727,1
1771719530.23267,esp32,CNN_32x32_v1,1771719529.676681,2475.140609,-1771717054536.072,53.66,1
1771719689.2100635,esp32,CNN_32x32_v1,1771719688.978415,2634.124447,-1771717054853.968,54.13,1
1771719844.270603,esp32,CNN_32x32_v1,1771719843.92194,2789.108763,-1771717054813.177,53.815,0
1771719999.494633,esp32,CNN_32x32_v1,1771719999.23939,2944.401093,-1771717054838.297,53.972,0
1771720156.157074,esp32,CNN_32x32_v1,1771720155.904826,3101.075216,-1771717054829.61,54.096,1
