Robo_Publicador,Robo_Assinante,Topico,Latencia_ms
youBot,Franka,/entregador/pontoRecebimento,37.351369857788086
sensor,Franka,/bloco/disponivel,34.62862968444824
sensor,Franka,/bloco/disponivel,29.997587203979492
sensor,Franka,/bloco/disponivel,157.90271759033203
youBot,Franka,/entregador/pontoRecebimento,147.1879482269287
sensor,Franka,/bloco/disponivel,45.632362365722656
youBot,Franka,/entregador/pontoRecebimento,163.2227897644043
sensor,Franka,/bloco/disponivel,17.199039459228516
youBot,Franka,/entregador/pontoRecebimento,128.7221908569336
sensor,Franka,/bloco/disponivel,167.97184944152832
youBot,Franka,/entregador/pontoRecebimento,160.72511672973633
sensor,Franka,/bloco/disponivel,125.97060203552246
youBot,Franka,/entregador/pontoRecebimento,191.3135051727295
sensor,Franka,/bloco/disponivel,131.3791275024414
youBot,Franka,/entregador/pontoRecebimento,160.16721725463867
sensor,Franka,/bloco/disponivel,147.263765335083
youBot,Franka,/entregador/pontoRecebimento,276.47995948791504
sensor,Franka,/bloco/disponivel,150.76899528503418
youBot,Franka,/entregador/pontoRecebimento,34.122467041015625
sensor,Franka,/bloco/disponivel,166.08381271362305
youBot,Franka,/entregador/pontoRecebimento,36.908626556396484
sensor,Franka,/bloco/disponivel,173.25949668884277
youBot,Franka,/entregador/pontoRecebimento,131.18648529052734
sensor,Franka,/bloco/disponivel,120.31388282775879
youBot,Franka,/entregador/pontoRecebimento,154.77705001831055
sensor,Franka,/bloco/disponivel,174.2093563079834
youBot,Franka,/entregador/pontoRecebimento,175.4453182220459
sensor,Franka,/bloco/disponivel,154.10280227661133
youBot,Franka,/entregador/pontoRecebimento,152.99415588378906
sensor,Franka,/bloco/disponivel,129.15825843811035
youBot,Franka,/entregador/pontoRecebimento,36.30495071411133
sensor,Franka,/bloco/disponivel,36.936044692993164
youBot,Franka,/entregador/pontoRecebimento,155.66372871398926
sensor,Franka,/bloco/disponivel,45.523643493652344
youBot,Franka,/entregador/pontoRecebimento,183.41970443725586
sensor,Franka,/bloco/disponivel,152.35209465026855
youBot,Franka,/entregador/pontoRecebimento,185.20379066467285
sensor,Franka,/bloco/disponivel,24.837732315063477
youBot,Franka,/entregador/pontoRecebimento,173.63452911376953
youBot,Franka,/entregador/pontoRecebimento,170.1650619506836
youBot,Franka,/entregador/pontoRecebimento,183.21514129638672
UR10,Franka,/colaboracao/fim,147.17912673950195
