Robo_Publicador,Robo_Assinante,Topico,Latencia_ms
youBot,UR10,/entregador/coletaDisponivel,32.72438049316406
Desconhecido,UR10,/esp/resultado,1771717055109.2107
youBot,UR10,/entregador/coletaDisponivel,157.45258331298828
Desconhecido,UR10,/esp/resultado,1771717055103.6616
youBot,UR10,/entregador/coletaDisponivel,122.62248992919922
Desconhecido,UR10,/esp/resultado,1771717055030.064
youBot,UR10,/entregador/coletaDisponivel,174.30830001831055
Desconhecido,UR10,/esp/resultado,1771717055106.098
youBot,UR10,/entregador/coletaDisponivel,128.91721725463867
Desconhecido,UR10,/esp/resultado,1771717055104.266
youBot,UR10,/entregador/coletaDisponivel,127.50768661499023
Desconhecido,UR10,/esp/resultado,1771717055079.3286
youBot,UR10,/entregador/coletaDisponivel,175.8265495300293
Desconhecido,UR10,/esp/resultado,1771717055108.139
youBot,UR10,/entregador/coletaDisponivel,188.9328956604004
Desconhecido,UR10,/esp/resultado,1771717055158.399
youBot,UR10,/entregador/coletaDisponivel,133.00800323486328
Desconhecido,UR10,/esp/resultado,1771717055097.4985
youBot,UR10,/entregador/coletaDisponivel,211.85994148254395
Desconhecido,UR10,/esp/resultado,1771717055079.6208
youBot,UR10,/entregador/coletaDisponivel,148.3626365661621
Desconhecido,UR10,/esp/resultado,1771717055034.6238
youBot,UR10,/entregador/coletaDisponivel,130.42092323303223
Desconhecido,UR10,/esp/resultado,1771717055094.743
youBot,UR10,/entregador/coletaDisponivel,187.92343139648438
Desconhecido,UR10,/esp/resultado,1771717055094.831
youBot,UR10,/entregador/coletaDisponivel,152.8604030609131
Desconhecido,UR10,/esp/resultado,1771717055096.5566
youBot,UR10,/entregador/coletaDisponivel,147.7208137512207
Desconhecido,UR10,/esp/resultado,1771717055096.9385
youBot,UR10,/entregador/coletaDisponivel,132.8756809234619
Desconhecido,UR10,/esp/resultado,1771717055096.3186
youBot,UR10,/entregador/coletaDisponivel,157.58681297302246
Desconhecido,UR10,/esp/resultado,1771717055090.0813
youBot,UR10,/entregador/coletaDisponivel,129.02379035949707
Desconhecido,UR10,/esp/resultado,1771717055013.5208
youBot,UR10,/entregador/coletaDisponivel,151.41963958740234
Desconhecido,UR10,/esp/resultado,1771717055087.5183
youBot,UR10,/entregador/coletaDisponivel,176.56564712524414
Desconhecido,UR10,/esp/resultado,1771717055085.702
