Robo_Publicador,Robo_Assinante,Topico,Latencia_ms
Franka,youBot,/entregador/encomendaDisponibilizada,131.9432258605957
UR10,youBot,/entregador/encomendaColetada,654.9131870269775
Franka,youBot,/entregador/encomendaDisponibilizada,109.56144332885742
UR10,youBot,/entregador/encomendaColetada,155.3056240081787
Franka,youBot,/entregador/encomendaDisponibilizada,117.9499626159668
UR10,youBot,/entregador/encomendaColetada,185.0759983062744
Franka,youBot,/entregador/encomendaDisponibilizada,140.42925834655762
UR10,youBot,/entregador/encomendaColetada,118.23773384094238
Franka,youBot,/entregador/encomendaDisponibilizada,159.85536575317383
UR10,youBot,/entregador/encomendaColetada,187.8972053527832
Franka,youBot,/entregador/encomendaDisponibilizada,50.603628158569336
UR10,youBot,/entregador/encomendaColetada,39.52908515930176
Franka,youBot,/entregador/encomendaDisponibilizada,23.377418518066406
UR10,youBot,/entregador/encomendaColetada,46.40054702758789
Franka,youBot,/entregador/encomendaDisponibilizada,112.11490631103516
UR10,youBot,/entregador/encomendaColetada,87.47720718383789
Franka,youBot,/entregador/encomendaDisponibilizada,170.42970657348633
UR10,youBot,/entregador/encomendaColetada,131.1209201812744
Franka,youBot,/entregador/encomendaDisponibilizada,24.407386779785156
UR10,youBot,/entregador/encomendaColetada,171.42391204833984
Franka,youBot,/entregador/encomendaDisponibilizada,129.2245388031006
UR10,youBot,/entregador/encomendaColetada,171.2198257446289
Franka,youBot,/entregador/encomendaDisponibilizada,242.22421646118164
UR10,youBot,/entregador/encomendaColetada,133.10527801513672
Franka,youBot,/entregador/encomendaDisponibilizada,35.836219787597656
UR10,youBot,/entregador/encomendaColetada,180.00197410583496
Franka,youBot,/entregador/encomendaDisponibilizada,131.2417984008789
UR10,youBot,/entregador/encomendaColetada,120.63264846801758
Franka,youBot,/entregador/encomendaDisponibilizada,143.72897148132324
UR10,youBot,/entregador/encomendaColetada,120.11241912841797
Franka,youBot,/entregador/encomendaDisponibilizada,141.09563827514648
UR10,youBot,/entregador/encomendaColetada,124.65262413024902
Franka,youBot,/entregador/encomendaDisponibilizada,117.62332916259766
UR10,youBot,/entregador/encomendaColetada,167.99306869506836
Franka,youBot,/entregador/encomendaDisponibilizada,178.03049087524414
UR10,youBot,/entregador/encomendaColetada,141.15595817565918
Franka,youBot,/entregador/encomendaDisponibilizada,126.98054313659668
UR10,youBot,/entregador/encomendaColetada,127.1219253540039
Franka,youBot,/entregador/encomendaDisponibilizada,130.07450103759766
UR10,youBot,/entregador/encomendaColetada,34.478187561035156
UR10,youBot,/colaboracao/fim,142.46535301208496
