timestamp_logger,id_publicador,modelo,timestamp_envio,timestamp_recebido,latencia_ms,tempo_inferencia_ms,resultado
1771687744.8507466,esp32,CNN_32x32_v1,1771687744.476202,876.935937,-1771686867540.265,53.836,1
1771687902.9075582,esp32,CNN_32x32_v1,1771687902.556936,1034.993869,-1771686867563.067,53.733,1
1771688053.7480364,esp32,CNN_32x32_v1,1771688053.241798,1185.903823,-1771686867337.975,54.05,1
1771688206.0530689,esp32,CNN_32x32_v1,1771688205.432059,1337.897545,-1771686867534.514,53.876,0
1771688361.4160447,esp32,CNN_32x32_v1,1771688360.980761,1493.569563,-1771686867411.198,54.052,0
1771688509.61071,esp32,CNN_32x32_v1,1771688509.420139,1641.877082,-1771686867543.057,53.753,0
1771688645.2749827,esp32,CNN_32x32_v1,1771688644.971281,1777.430722,-1771686867540.559,53.154,1
1771688782.9037714,esp32,CNN_32x32_v1,1771688782.569001,1914.982078,-1771686867586.923,53.555,1
1771688927.0601559,esp32,CNN_32x32_v1,1771688926.739893,2059.214858,-1771686867525.035,53.881,0
1771689069.3739235,esp32,CNN_32x32_v1,1771689069.058996,2201.527369,-1771686867531.627,53.877,1
1771689211.0724173,esp32,CNN_32x32_v1,1771689210.672798,2343.151145,-1771686867521.653,53.602,0
1771689353.23248,esp32,CNN_32x32_v1,1771689352.936075,2485.385025,-1771686867551.05,54.087,0
1771689500.8447926,esp32,CNN_32x32_v1,1771689500.524531,2632.998865,-1771686867525.666,53.882,0
1771689638.7029471,esp32,CNN_32x32_v1,1771689638.365432,2770.777903,-1771686867587.529,53.763,0
1771689784.548881,esp32,CNN_32x32_v1,1771689784.227938,2916.700876,-1771686867527.062,53.74,1
1771689924.4043539,esp32,CNN_32x32_v1,1771689924.120716,3056.557583,-1771686867563.133,54.078,1
1771690070.402528,esp32,CNN_32x32_v1,1771690070.120188,3202.55466,-1771686867565.528,53.883,1
1771690225.0764208,esp32,CNN_32x32_v1,1771690224.765946,3357.232044,-1771686867533.902,53.873,0
1771690374.2985516,esp32,CNN_32x32_v1,1771690373.965764,3506.380125,-1771686867585.639,53.876,1
1771690525.981741,esp32,CNN_32x32_v1,1771690525.744705,3658.216441,-1771686867528.264,53.502,0
