Robo_Publicador,Robo_Assinante,Topico,Latencia_ms
youBot,UR10,/entregador/coletaDisponivel,10.610342025756836
Desconhecido,UR10,/esp/resultado,1771686867697.0188
youBot,UR10,/entregador/coletaDisponivel,26.04198455810547
Desconhecido,UR10,/esp/resultado,1771686867765.5425
youBot,UR10,/entregador/coletaDisponivel,20.99466323852539
Desconhecido,UR10,/esp/resultado,1771686867704.3572
youBot,UR10,/entregador/coletaDisponivel,15.733480453491211
Desconhecido,UR10,/esp/resultado,1771686867699.524
youBot,UR10,/entregador/coletaDisponivel,10.586261749267578
Desconhecido,UR10,/esp/resultado,1771686867697.1572
youBot,UR10,/entregador/coletaDisponivel,10.535955429077148
Desconhecido,UR10,/esp/resultado,1771686867691.8562
youBot,UR10,/entregador/coletaDisponivel,15.579700469970703
Desconhecido,UR10,/esp/resultado,1771686867695.3708
youBot,UR10,/entregador/coletaDisponivel,15.566110610961914
Desconhecido,UR10,/esp/resultado,1771686867777.3596
youBot,UR10,/entregador/coletaDisponivel,10.471582412719727
Desconhecido,UR10,/esp/resultado,1771686867696.178
youBot,UR10,/entregador/coletaDisponivel,20.638227462768555
Desconhecido,UR10,/esp/resultado,1771686867707.2478
youBot,UR10,/entregador/coletaDisponivel,25.739669799804688
Desconhecido,UR10,/esp/resultado,1771686867727.3613
youBot,UR10,/entregador/coletaDisponivel,20.627498626708984
Desconhecido,UR10,/esp/resultado,1771686867698.5073
youBot,UR10,/entregador/coletaDisponivel,20.57504653930664
Desconhecido,UR10,/esp/resultado,1771686867703.8542
youBot,UR10,/entregador/coletaDisponivel,10.447025299072266
Desconhecido,UR10,/esp/resultado,1771686867776.5625
youBot,UR10,/entregador/coletaDisponivel,10.455846786499023
Desconhecido,UR10,/esp/resultado,1771686867709.1567
youBot,UR10,/entregador/coletaDisponivel,15.572071075439453
Desconhecido,UR10,/esp/resultado,1771686867697.6995
youBot,UR10,/entregador/coletaDisponivel,10.51473617553711
Desconhecido,UR10,/esp/resultado,1771686867704.2258
youBot,UR10,/entregador/coletaDisponivel,15.544414520263672
Desconhecido,UR10,/esp/resultado,1771686867695.5222
youBot,UR10,/entregador/coletaDisponivel,15.544891357421875
Desconhecido,UR10,/esp/resultado,1771686867769.046
youBot,UR10,/entregador/coletaDisponivel,15.614986419677734
Desconhecido,UR10,/esp/resultado,1771686867695.0889
