Ambiente,Topico,Latencia_Mediana_ms,Jitter_ms,Amostras
Local,/bloco/disponivel,10.53,6.08,20
Edison,/bloco/disponivel,130.27,59.15,20
AWS,/bloco/disponivel,205.86,24.77,20
Local,/cam/capture,51.1,4.49,20
Edison,/cam/capture,151.9,127.98,20
AWS,/cam/capture,442.27,35.42,20
Local,/colaboracao/fim,13.21,5.09,4
Edison,/colaboracao/fim,142.75,6.53,4
AWS,/colaboracao/fim,249.69,8.77,4
Local,/entregador/coletaDisponivel,15.57,5.11,20
Edison,/entregador/coletaDisponivel,149.89,36.77,20
AWS,/entregador/coletaDisponivel,214.17,32.23,20
Local,/entregador/encomendaColetada,10.58,5.91,20
Edison,/entregador/encomendaColetada,132.11,126.52,20
AWS,/entregador/encomendaColetada,212.99,20.24,20
Local,/entregador/encomendaDisponibilizada,5.49,3.51,20
Edison,/entregador/encomendaDisponibilizada,129.65,53.76,20
AWS,/entregador/encomendaDisponibilizada,202.32,62.29,20
Local,/entregador/pontoRecebimento,15.58,4.99,21
Edison,/entregador/pontoRecebimento,160.17,61.35,21
AWS,/entregador/pontoRecebimento,224.78,59.1,21
Local,/esp/classificar,320.6,93.37,20
Edison,/esp/classificar,259.27,120.86,20
AWS,/esp/classificar,742.79,92.08,20
Local,/esp/resultado,164.3,30.14,20
Edison,/esp/resultado,258.88,31.59,20
AWS,/esp/resultado,472.19,71.55,20
