timestamp_logger,id_publicador,modelo,timestamp_envio,timestamp_recebido,latencia_ms,tempo_inferencia_ms,resultado
1771766513.2492504,esp32,MobileNetV2-32x32,1771766512.664137,144.040485,-1771766368623.652,334.985,0
1771766643.811507,esp32,MobileNetV2-32x32,1771766643.235509,274.600645,-1771766368634.864,333.495,0
1771766779.2138727,esp32,MobileNetV2-32x32,1771766778.582432,410.000961,-1771766368581.471,334.277,0
1771766928.8229246,esp32,MobileNetV2-32x32,1771766928.108397,559.534282,-1771766368574.115,333.841,0
1771767064.224443,esp32,MobileNetV2-32x32,1771767063.627024,695.010482,-1771766368616.542,334.033,0
1771767201.621558,esp32,MobileNetV2-32x32,1771767200.856449,71.12299,-1771767129733.459,337.659,1
1771767338.4052126,esp32,MobileNetV2-32x32,1771767337.623729,207.755889,-1771767129867.84,333.836,0
1771767480.1726959,esp32,MobileNetV2-32x32,1771767479.601879,349.684586,-1771767129917.293,334.319,0
1771767624.7836785,esp32,MobileNetV2-32x32,1771767624.140467,494.306139,-1771767129834.328,333.784,0
1771767770.1636305,esp32,MobileNetV2-32x32,1771767769.580675,639.687606,-1771767129893.069,333.626,1
1771767916.1602473,esp32,MobileNetV2-32x32,1771767915.307206,785.454647,-1771767129852.559,333.703,0
1771768059.4665456,esp32,MobileNetV2-32x32,1771768058.83318,928.99634,-1771767129836.84,333.756,1
1771768214.6799858,esp32,MobileNetV2-32x32,1771768214.114789,1084.22112,-1771767129893.669,334.312,0
1771768358.450767,esp32,MobileNetV2-32x32,1771768357.682686,1227.97976,-1771767129702.926,336.66,0
1771768820.9441228,esp32,MobileNetV2-32x32,1771768820.103342,267.387742,-1771768552715.6,336.038,1
1771768960.1833417,esp32,MobileNetV2-32x32,1771768959.510525,406.562424,-1771768552948.101,334.488,0
1771769098.733593,esp32,MobileNetV2-32x32,1771769098.054945,545.181472,-1771768552873.473,333.788,1
1771769235.4378562,esp32,MobileNetV2-32x32,1771769234.554804,681.580475,-1771768552974.329,333.52,0
1771769372.7564144,esp32,MobileNetV2-32x32,1771769371.825136,818.900966,-1771768552924.17,333.978,0
1771769509.9239125,esp32,MobileNetV2-32x32,1771769509.347036,956.374906,-1771768552972.13,333.742,0
1771769653.5396323,esp32,MobileNetV2-32x32,1771769652.955129,1099.993279,-1771768552961.85,333.768,0
1771770877.672743,esp32,MobileNetV2-32x32,1771770877.180328,545.787427,-1771770331392.901,331.483,0
1771771121.5900488,esp32,MobileNetV2-32x32,1771771120.990262,789.631052,-1771770331359.21,331.234,0
1771771348.7675574,esp32,MobileNetV2-32x32,1771771347.857175,1016.501993,-1771770331355.182,331.057,0
1771771592.2257628,esp32,MobileNetV2-32x32,1771771591.627792,1260.268874,-1771770331358.918,333.792,1
1771771804.890173,esp32,MobileNetV2-32x32,1771771804.352538,1473.007704,-1771770331344.834,331.236,0
1771772016.628026,esp32,MobileNetV2-32x32,1771772015.999369,1684.671693,-1771770331327.676,330.826,0
1771772235.3588328,esp32,MobileNetV2-32x32,1771772234.733964,1903.402755,-1771770331331.209,331.628,1
1771772452.856413,esp32,MobileNetV2-32x32,1771772451.534926,2120.900828,-1771770330634.098,331.633,2
1771772671.043973,esp32,MobileNetV2-32x32,1771772670.408982,2339.094769,-1771770331314.213,330.933,1
1771772895.9917624,esp32,MobileNetV2-32x32,1771772895.398083,2564.045505,-1771770331352.578,331.167,0
1771773116.9455686,esp32,MobileNetV2-32x32,1771773116.335759,2785.002752,-1771770331333.007,331.273,0
1771773378.0693853,esp32,MobileNetV2-32x32,1771773377.386722,3046.199965,-1771770331186.757,332.327,1
1771773596.9477935,esp32,MobileNetV2-32x32,1771773596.373248,3265.010885,-1771770331362.363,331.418,0
1771773752.7757688,esp32,MobileNetV2-32x32,1771773752.206014,3420.86521,-1771770331340.804,331.793,0
1771773909.218365,esp32,MobileNetV2-32x32,1771773908.599932,3577.28401,-1771770331315.922,331.439,0
1771774064.50929,esp32,MobileNetV2-32x32,1771774063.944226,3732.575934,-1771770331368.292,331.044,0
